"AD_TOTAL"	"AD_UP"	"AD_DOWN"	"earlyPD_TOTAL"	"earlyPD_UP"	"earlyPD_DOWN"	"MCI_TOTAL"	"MCI_UP"	"MCI_DOWN"	"MS_TOTAL"	"MS_UP"	"MS_DOWN"	"PD_TOTAL"	"PD_UP"	"PD_DOWN"	"rrMS_TOTAL"	"rrMS_UP"	"rrMS_DOWN"	"spMS_TOTAL"	"spMS_UP"	"spMS_DOWN"	"Sexmale_TOTAL"	"Sexmale_UP"	"Sexmale_DOWN"	"Age_TOTAL"	"Age_UP"	"Age_DOWN"
"CIAPIN1"	"CIAPIN1"	"GCLC"	"KRIT1"	"KRIT1"	"LAP3"	"GSTO2"	"GSTO2"	"PFN2"	"M6PR"	"M6PR"	"FUZ"	"LAS1L"	"LAS1L"	"NDUFAF7"	"RECQL"	"RECQL"	"KRIT1"	"SCYL3"	"SCYL3"	"KRIT1"	"LASP1"	"LASP1"	"RHBDD2"	"HS3ST1"	"HS3ST1"	"IL32"
"MAP3K9"	"MAP3K9"	"HS3ST1"	"HS3ST1"	"HS3ST1"	"LASP1"	"IARS2"	"IARS2"	"JMJD6"	"PSMC4"	"PSMC4"	"COX15"	"CDKL3"	"CDKL3"	"MEOX1"	"CDKL5"	"CDKL5"	"TFPI"	"HCCS"	"HCCS"	"NDUFAF7"	"SH2D2A"	"SH2D2A"	"PEX3"	"M6PR"	"M6PR"	"SLC6A13"
"CCL26"	"CCL26"	"TMEM176A"	"CYP26B1"	"CYP26B1"	"AK2"	"KCNAB2"	"KCNAB2"	"SP140"	"CENPQ"	"CENPQ"	"AGPAT4"	"GCLM"	"GCLM"	"RPAP3"	"RPS20"	"RPS20"	"MEOX1"	"PSMB1"	"PSMB1"	"MEOX1"	"BRD9"	"BRD9"	"USP28"	"CYP26B1"	"CYP26B1"	"ERCC1"
"CDKL3"	"CDKL3"	"NDUFAF7"	"NDUFAF7"	"NDUFAF7"	"NDUFAB1"	"KCNN2"	"KCNN2"	"RNF13"	"PHF23"	"PHF23"	"SH2D2A"	"ABCF2"	"ABCF2"	"MAP3K14"	"ACP3"	"ACP3"	"QPCTL"	"MDH1"	"MDH1"	"CDKL5"	"MAP2K3"	"MAP2K3"	"PTCD2"	"RPAP3"	"RPAP3"	"NR1H4"
"SS18L2"	"SS18L2"	"MEOX1"	"ARF5"	"ARF5"	"SKAP2"	"LGALS1"	"LGALS1"	"C3orf18"	"ANAPC4"	"ANAPC4"	"HOXC8"	"ASTE1"	"ASTE1"	"PSMB1"	"UBR2"	"UBR2"	"MDH1"	"ATP2C1"	"ATP2C1"	"MGST1"	"FAM136A"	"FAM136A"	"EYA2"	"ACSM3"	"ACSM3"	"MDH1"
"IL32"	"IL32"	"RPAP3"	"POLDIP2"	"POLDIP2"	"LIG3"	"PDGFB"	"PDGFB"	"HMOX1"	"CUL1"	"CUL1"	"TLL1"	"TBC1D23"	"TBC1D23"	"MKS1"	"UBA6"	"UBA6"	"COX15"	"STAP1"	"STAP1"	"RPS20"	"GEMIN8"	"GEMIN8"	"MRPS34"	"RHBDD2"	"RHBDD2"	"GLRX2"
"RPS20"	"RPS20"	"ACSM3"	"RECQL"	"RECQL"	"CIAPIN1"	"GCDH"	"GCDH"	"PSME2"	"MTA3"	"MTA3"	"PNKP"	"PTCD2"	"PTCD2"	"COX15"	"GABARAPL2"	"GABARAPL2"	"ATP2C1"	"MCM10"	"MCM10"	"GABRA3"	"MAP4"	"MAP4"	"RAB7A"	"PSMB1"	"PSMB1"	"ANK1"
"FUZ"	"FUZ"	"GDE1"	"RPAP3"	"RPAP3"	"TMEM98"	"CPSF3"	"CPSF3"	"VSIG1"	"ADCK1"	"ADCK1"	"ROS1"	"JKAMP"	"JKAMP"	"FHL1"	"WNT8A"	"WNT8A"	"NLRP2"	"IARS2"	"IARS2"	"GABARAPL2"	"SMARCD1"	"SMARCD1"	"PTHLH"	"MED24"	"MED24"	"IARS2"
"ATP2C1"	"ATP2C1"	"MAP3K14"	"REXO5"	"REXO5"	"MAP3K14"	"MRM2"	"MRM2"	"FMR1"	"HDAC4"	"HDAC4"	"HDAC9"	"CDK14"	"CDK14"	"NCAPH2"	"VMP1"	"VMP1"	"GLRX2"	"HSD17B10"	"HSD17B10"	"ARHGEF5"	"FTSJ1"	"FTSJ1"	"GANAB"	"TTC27"	"TTC27"	"KCNAB2"
"RUFY3"	"RUFY3"	"ELAC2"	"RHBDD2"	"RHBDD2"	"USH1C"	"EMG1"	"EMG1"	"PIM2"	"MCM2"	"MCM2"	"RAD51"	"ERBB3"	"ERBB3"	"HOXC8"	"RNF4"	"RNF4"	"NCAPH2"	"SNRPA"	"SNRPA"	"CAMK2B"	"SNCB"	"SNCB"	"TGM1"	"FHL1"	"FHL1"	"ZXDC"
